48026,12419,29203,29392,43339,23777,49055,51707,50096,46059,76058,50443,53098,52204,24739,50061,35842,32978,48165,53066,35451,41386,49771,17279,30103,52953,49164,51902,10084,18125,17001,25143,17402,25995,7678,3685,5243,4330,7922,12555,6957,5086,13361,16230,5091,15614,16255,30235,21922,26067,16915,28682,22089,21857,30230,22688,12258,12865,26408,8849,10152,29263,23006,34046,22548,34269,18317,14307,18492,5828,4647,20806,8112,16876,26727,10935,13587,22389,10777,15361,13413,18373,10406,26671,5858,3208,4546,3786,6260,9214,4855,3494,6854,8618,3297,6835,11288,15119,15849,3139,3249,2291,4534,2301,1144,2126,2661,3482,3883,4533,2449,5811,3133,4418,4425,4021,10286,4474,14674,14958,16239,8581,7487,11769,4320,3616,12030,6372,13114,14965,5847,6049,7654,4515,6744,6701,5756,5033,16563,16650,5156,4029,12578,4221,6615,4566,2672,2569,6113,7971,6245,5820,6740,7364,a-2
34641,14335,27647,23215,29099,15247,35375,32881,36312,31013,39351,24605,33829,32826,14899,24407,17982,24864,34555,34078,25329,38045,35660,15361,26395,33142,35457,32812,11540,16772,12749,15488,9661,17879,9520,4338,5002,3520,8777,11895,7849,5081,14161,13401,4591,12715,10556,19141,12758,17846,10526,14378,10950,16179,19213,13305,8761,12266,16337,6233,8548,14520,12822,16091,12307,16185,11309,14147,9326,3971,4751,10742,6705,9924,18041,9565,13735,16372,12035,13941,12144,16821,9835,18069,7124,3630,4107,2905,6673,7702,4879,3094,7006,6754,2588,5563,6228,8551,7750,3526,3153,2096,5376,2516,1099,2440,2219,3153,2895,5304,2521,5983,3256,4757,4079,3627,8322,3777,8448,8368,7942,5477,7155,6199,2652,3319,5977,4390,6853,8546,3873,5058,5262,3830,5034,4731,4855,3619,7536,7412,3270,3787,7535,4100,5403,3109,2737,2051,4146,7214,7239,5681,6969,7153,a-20
31066,9734,26591,23644,28157,13138,32146,26375,32794,29039,40706,21548,26812,25434,10806,20785,12365,17923,31015,27722,18323,36908,32337,11129,25931,25656,31695,26493,7556,14777,11740,13486,7632,13126,6270,2887,3466,2231,5086,10571,5544,3709,11279,12069,3779,11338,8470,16713,10726,12975,7599,12186,7582,10422,16831,11097,6105,8439,14056,4137,5376,11888,8982,12273,8680,12117,6653,9576,6203,1943,2851,6779,4047,5802,13200,5624,11007,10260,8082,9784,8235,14948,7443,13294,4488,2199,2695,1850,3727,6587,3436,2303,4833,5470,1929,3628,4430,5694,5743,2276,2040,1210,2935,1556,583,1421,1266,1860,1710,3518,1543,4058,1913,2644,2794,2713,6766,3054,6483,5806,5812,3218,3955,4105,1261,1722,3858,2469,4025,6443,2138,2764,3404,2029,2954,3002,2840,2166,4927,4752,1551,2247,4173,2221,2600,1448,1575,971,2133,3810,4630,3400,3964,5049,a-21
27550,8121,23419,21581,25512,10785,28355,22037,28686,25916,33633,17412,22617,21533,9185,16849,10322,15234,27526,23080,15359,32697,28288,9055,22880,21697,28140,22270,6576,13569,11052,12038,6226,11251,5263,2519,2881,1682,4290,9822,4848,2928,9830,11022,2875,10233,7206,15594,8807,11007,6655,9787,6234,8966,15486,8868,4775,7374,11862,3253,4693,9544,7743,10082,7459,9975,5463,8223,5163,1425,2201,5510,3197,4820,11185,4735,9770,8819,7152,8147,7051,13746,6043,11369,3994,2106,2422,1451,3296,6509,3193,1877,4267,4990,1529,3282,3749,5188,4661,1946,1663,930,2587,1283,416,1169,919,1539,1248,3096,1241,3753,1623,2464,2179,2218,6401,2290,5579,5169,4625,2556,3609,3479,967,1433,3065,2064,3330,5362,1814,2690,2749,2016,2402,2438,2601,1730,4062,3911,1159,1795,3407,1841,2119,1102,1219,688,1605,3405,4200,2895,3492,4408,a-22
25468,7297,21704,20042,23684,10466,26272,20866,26629,24048,31984,17358,21540,20432,8959,16846,10318,14150,25473,21801,14368,29802,26300,8502,21277,20570,26015,21017,5749,12245,10181,11391,6234,10567,4682,2344,2744,1611,3693,8856,4668,2952,8901,10320,2966,9416,7023,14511,8556,10400,6395,9637,6205,8191,14437,8771,4732,6810,11390,3220,4392,9653,7743,10101,7432,9958,5161,7356,5309,1478,2160,5540,3109,4595,10562,4200,8589,8013,6266,7207,6478,12418,5647,10675,3475,1883,2207,1348,2711,5718,2998,1874,3892,4765,1594,2961,3894,5115,4729,1862,1635,876,2159,1274,405,1026,967,1458,1199,3023,1215,3255,1638,2372,2191,2260,5851,2372,5463,5110,4735,2483,3179,3542,992,1347,3145,1981,3200,5353,1680,2334,2723,1945,2328,2437,2534,1755,4390,4219,1188,1744,3274,1754,1877,1168,1263,721,1619,2968,3633,2455,2930,4031,a-23
28432,8340,20487,18441,26276,12651,29213,29075,29900,27958,45629,27559,29850,28940,11429,26164,17748,20133,28350,29802,19989,30770,29366,9204,18916,29252,29364,29239,6439,11008,9398,13321,8217,13139,4929,1922,2610,2397,4750,7834,4667,3125,8271,9816,2172,8794,7921,16285,10599,12931,7448,13572,10575,11681,16254,10579,6119,6675,13793,3590,4621,14213,10376,16435,9975,16314,8996,9204,7258,2169,2288,9226,3693,7825,13182,5311,8191,11605,6801,8965,6831,11073,5167,13396,3483,1520,2069,2076,3518,5048,2755,1876,3207,4375,1154,2816,4621,6364,6567,1687,1739,1216,2441,1046,317,888,1013,1247,1790,2883,993,2843,1719,2090,2209,1625,5572,1774,6328,6277,6477,3817,3655,4238,1309,1327,4762,2141,5607,6211,2031,2477,3384,1847,2962,2610,2442,1839,6250,6148,1850,1961,5779,2372,3214,1711,1288,875,2187,3725,3648,2682,3597,3439,a-24
24363,7660,18831,15763,21811,10401,25212,25842,25848,23397,38615,24398,26946,26097,9299,23427,16479,19155,24215,26629,18999,29429,25340,8777,16904,26442,25306,26031,5770,9847,7856,10899,6662,11108,4667,1680,2141,1944,4236,6769,4154,2814,8020,8613,1852,7629,6306,13196,8526,10886,5725,11454,9458,10767,13077,8462,5366,6380,11159,3197,4029,11823,8367,14158,7911,14154,8245,8822,5776,1873,2035,8238,3169,6964,11124,5049,7551,10841,6124,8181,6476,10007,4931,11349,3234,1289,1709,1686,3055,4333,2459,1640,3119,3717,932,2359,3569,4833,5161,1457,1439,1040,2387,884,278,765,795,946,1405,2630,904,2561,1490,1889,1984,1355,4963,1525,4873,4692,5100,3295,3442,3183,999,1090,3912,1758,4973,4758,1644,2095,2740,1501,2599,2208,2064,1652,4869,4749,1568,1741,5194,2055,2796,1480,1148,746,1770,3554,3416,2589,3121,3255,a-25
26520,8623,20529,16228,23184,11797,26877,28818,27693,24623,41519,26371,29341,28525,10364,25361,18336,22142,26556,29591,21723,36215,26957,9114,18842,28752,27604,29067,6938,10865,8203,12112,7897,12294,5048,1799,2611,2444,4932,7237,4478,3036,8856,8565,1963,7665,7172,13905,9654,12121,6609,12765,10402,12536,13955,9609,5478,7019,12058,3151,4275,12872,9071,15406,8704,15216,9129,10370,6526,2223,2525,8938,3713,8073,12342,5626,9008,12552,7587,9798,6925,11073,5186,12527,3796,1512,2197,2174,3806,4672,2763,1845,3514,3854,1031,2430,4335,5405,6125,1496,1665,1187,2635,923,354,847,1030,1204,1758,2617,1014,2698,1657,2131,2220,1500,4884,1581,5550,5321,5927,3517,4090,3858,1263,1474,4410,2212,5505,5466,1719,2295,3092,1934,2707,2351,2306,1624,5454,5341,1825,2076,5678,2361,3237,1799,1386,902,2105,4153,4128,2941,3984,3585,a-26
27763,9104,17186,16244,26212,13058,27930,25594,28751,27779,38176,20554,26598,25522,12056,20282,12564,16413,27596,26612,17545,24084,28287,11152,17818,25874,28389,25515,6679,10452,10180,14156,7780,13650,5857,2324,2780,1973,4896,7634,4727,3025,8008,9302,3048,7947,9215,16778,11077,13573,8437,12129,8144,10333,16528,11550,6412,8432,15012,4760,6549,12088,10751,12898,10089,13010,7377,9192,7272,2427,2922,7197,4305,6515,13806,6510,9116,10410,6992,9170,8386,10619,6658,13845,3906,1927,2258,1632,3434,5538,3231,2016,4181,5577,2118,4180,4984,7125,6180,1949,1694,1133,2949,1152,455,1103,1065,1608,1599,3121,1387,3399,1655,2601,2418,2333,5184,2456,7533,6779,6375,3829,4436,4736,1633,1879,4341,2786,4768,7481,2715,3780,3731,2734,3616,3582,3768,2809,6017,5854,2006,2513,4698,2659,3335,1889,1541,1093,2447,4472,3972,3566,3632,4367,a-27
29224,9959,18540,18055,27453,12808,29147,25323,29901,29118,38371,19576,26314,25012,11810,19674,11752,15856,28920,26397,17056,24657,29524,11922,19521,25427,29792,25113,7343,11398,10725,14164,7509,13704,6470,2581,3071,2039,5166,8409,4838,2965,8532,9781,3212,8919,9004,17391,10824,13648,8223,11984,7760,9962,17192,11438,6359,8932,15047,4854,6857,11571,10632,12395,9830,12571,6957,9212,6927,2342,3065,6718,4565,6373,13811,6762,9905,10013,7608,9327,8920,11587,7308,13830,4326,2024,2439,1734,3607,5944,3177,2035,4585,5450,2076,4350,4789,6813,5907,2183,1826,1144,3203,1204,481,1301,1107,1756,1672,3099,1399,3899,1562,2837,2466,2420,5573,2647,7320,6531,6252,3716,4522,4551,1565,1875,4133,2809,4680,7260,2763,4075,3621,2944,3858,3590,3790,2947,5778,5546,1937,2659,4367,2973,3441,1778,1628,1165,2426,4559,4314,3837,3753,4832,a-28
